NRO,UMP,SUBMUESTRA,AMBITO,MACROREGION,DOMINIOGEO,SEXO,EDAD,GEDAD,NSE1,NSEGRUP,NIVEDU,PESO,P81,P82A,P82B,P82C,P82D,P82E,P82F,P83,P84,P85A,P85B,P85C,P85D,P85E,P85F,P85G,P85H,P85I,P85J,P85K,P85L,P86A,P86B,P86C,P86D,P86E,P86F,P86G,P87
1,1,1,1,1,1,2,40,2,2,1,9,2.43048565596773,8,1,1,2,2,4,1,1,2,3,2,2,3,3,3,8,2,2,3,3,3,4,2,2,4,4,2,1,3
2,1,1,1,1,1,1,61,3,2,1,9,2.43048565596773,1,1,1,4,2,4,4,2,3,3,2,2,2,3,3,3,2,2,3,3,3,2,4,4,4,4,2,2,3
3,1,1,1,1,1,2,65,3,4,3,6,2.43048565596773,8,2,3,3,7,7,2,2,4,2,2,2,2,2,3,3,2,3,8,2,3,2,1,2,4,2,1,2,3
4,1,1,1,1,1,1,25,1,2,1,10,2.43048565596773,5,1,1,2,7,2,2,2,4,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,3
5,1,1,1,1,1,2,21,1,3,2,6,2.43048565596773,1,1,1,2,7,7,2,2,3,3,2,2,1,2,3,2,1,2,3,2,2,1,1,3,8,1,4,1,3
6,2,1,1,1,1,1,27,1,2,1,6,2.43048565596773,5,1,2,4,4,2,4,2,5,3,2,2,1,1,3,4,2,1,4,3,3,3,2,3,3,4,3,8,3
7,2,1,1,1,1,1,52,3,1,1,10,2.43048565596773,5,1,1,2,7,7,4,2,6,3,1,2,4,1,4,4,3,2,4,3,3,1,1,2,2,2,2,2,2
8,2,1,1,1,1,2,58,3,2,1,10,2.43048565596773,8,1,1,4,7,7,4,8,5,4,1,2,1,1,4,3,3,2,8,4,4,3,2,8,8,4,3,3,3
9,2,1,1,1,1,2,24,1,2,1,9,2.43048565596773,2,1,1,1,7,4,2,2,3,4,2,1,4,4,4,4,3,1,4,4,3,4,3,4,4,4,4,4,2
10,2,1,1,1,1,2,60,3,2,1,9,2.43048565596773,2,1,1,3,7,7,4,2,4,3,2,2,1,1,4,4,2,1,4,2,2,2,1,8,4,3,2,1,3
11,3,1,1,1,1,1,61,3,4,3,4,2.43048565596773,1,1,1,2,8,4,4,3,4,2,2,3,1,1,2,8,2,2,3,2,2,2,4,4,4,4,1,9,3
12,3,1,1,1,1,1,51,3,3,2,6,2.43048565596773,1,2,2,4,4,3,4,2,4,2,3,2,1,1,2,3,2,2,4,2,9,2,2,4,3,3,2,2,3
13,3,1,1,1,1,2,75,3,3,2,6,2.43048565596773,6,1,1,4,7,7,4,3,5,1,3,3,2,1,2,3,3,8,3,2,3,2,2,4,4,4,1,2,3
14,3,1,1,1,1,2,44,2,2,1,10,2.43048565596773,9,2,1,8,4,7,4,2,5,8,2,2,2,3,8,3,2,2,3,9,3,2,2,4,4,2,1,1,3
15,3,1,1,1,1,1,21,1,2,1,7,2.43048565596773,5,1,1,3,7,7,2,2,4,2,2,2,3,3,3,3,3,2,3,3,3,2,2,3,8,3,1,1,3
16,4,1,1,1,1,1,38,2,3,2,8,2.43048565596773,3,1,1,4,4,4,4,2,4,2,1,2,2,3,4,3,1,2,4,4,4,1,1,1,4,1,1,2,3
17,4,1,1,1,1,2,28,1,2,1,8,2.43048565596773,4,2,1,4,9,4,4,1,3,3,1,2,3,3,2,8,2,1,8,4,4,2,2,4,1,2,2,4,3
18,4,1,1,1,1,1,27,1,2,1,9,2.43048565596773,4,1,1,2,7,4,4,2,4,2,1,2,2,3,4,3,1,2,8,4,4,2,2,4,4,2,2,2,3
19,4,1,1,1,1,2,38,2,3,2,6,2.43048565596773,4,1,1,4,4,7,4,2,5,1,3,2,2,2,2,1,1,2,2,3,4,1,2,4,8,4,2,8,3
20,4,1,1,1,1,1,76,3,3,2,8,2.43048565596773,5,2,2,4,7,7,4,2,5,2,3,2,1,1,1,1,2,3,1,1,3,2,2,8,9,2,2,2,3
21,5,1,1,1,1,2,18,1,4,3,7,2.43048565596773,1,2,4,4,4,7,4,2,5,2,2,2,1,1,2,8,2,2,8,4,4,4,2,4,4,4,4,4,3
22,5,1,1,1,1,2,52,3,3,2,5,2.43048565596773,4,4,4,4,4,4,4, ,6,1,2,2,2,2,8,8,2,2,8,2,2,4,8,4,4,4,4,4,4
23,5,1,1,1,1,2,49,3,3,2,8,2.43048565596773,3,1,1,1,4,7,4,8,5,1,3,8,1,2,2,8,2,2,4,1,2,3,2,4,4,4,4,4,4
24,5,1,1,1,1,1,37,2,3,2,6,2.43048565596773,2,1,2,2,8,4,4,8,6,2,2,2,2,2,2,8,2,2,8,9,3,4,2,4,4,4,4,4,3
25,5,1,1,1,1,1,57,3,3,2,6,2.43048565596773,6,2,2,2,7,7,4,2,5,1,2,2,1,1,3,8,2,2,4,2,4,2,4,4,2,4,4,4,4
26,6,1,1,1,1,1,45,3,3,2,8,2.43048565596773,3,1,2,4,7,4,4,2,5,4,2,2,1,1,4,9,9,2,4,2,2,3,2,8,8,4,2,2,3
27,6,1,1,1,1,1,28,1,3,2,6,2.43048565596773,3,1,1,4,4,4,4,3,4,2,2,2,1,1,3,4,8,2,4,3,2,2,1,8,8,3,4,3,3
28,6,1,1,1,1,2,45,3,3,2,7,2.43048565596773,5,2,1,4,4,2,2,2,6,2,2,2,1,1,3,4,2,2,3,3,3,2,3,3,4,4,4,4,3
29,6,1,1,1,1,1,45,3,2,1,9,2.43048565596773,5,1,2,2,4,4,4,1,8,4,2,2,2,2,2,2,3,1,3,3,4,3,4,4,4,4,3,4,3
30,6,1,1,1,1,2,50,3,3,2,6,2.43048565596773,2,2,2,2,7,4,2,2,5,3,2,2,1,1,4,4,2,1,4,2,3,3,3,4,4,4,3,3,4
31,7,1,1,1,1,1,53,3,3,2,6,2.43048565596773,2,1,1,4,4,4,4,2,5,2,1,2,8,3,3,4,1,2,4,4,4,2,2,4,2,4,1,8,4
32,7,1,1,1,1,2,47,3,4,3,4,2.43048565596773,3,1,1,4,4,4,4,2,5,2,3,2,1,1,3,3,2,8,3,2,3,2,2,4,2,2,1,8,4
33,7,1,1,1,1,2,49,3,4,3,6,2.43048565596773,4,1,1,4,4,7,4,2,5,1,2,2,2,2,2,1,1,8,8,2,3,1,1,4,1,1,2,4,3
34,7,1,1,1,1,2,18,1,4,3,6,2.43048565596773,5,2,2,4,7,4,4,2,5,4,2,2,3,3,4,3,1,2,8,4,4,1,2,2,9,2,2,2,3
35,7,1,1,1,1,1,58,3,3,2,6,2.43048565596773,4,1,2,4,7,4,4,2,5,1,3,2,2,1,2,3,1,3,8,2,3,2,2,8,4,2,2,8,4
36,8,1,1,1,1,2,55,3,2,1,11,2.43048565596773,2,2,2,4,7,4,4,2,4,3,2,2,2,2,3,3,2,8,8,9,3,1,1,8,8,3,2,3,2
37,8,1,1,1,1,2,40,2,2,1,10,2.43048565596773,5,1,1,1,1,4,4,2,8,2,3,3,1,1,2,1,1,8,8,2,2,1,1,1,2,1,1,1,4
38,8,1,1,1,1,1,48,3,3,2,8,2.43048565596773,5,1,1,1,1,4,4,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,1,3
39,8,1,1,1,1,1,42,2,4,3,5,2.43048565596773,8,1,1,2,4,1,1,2,6,1,2,2,2,2,2,2,2,2,3,3,2,2,2,1,1,2,1,1,3
40,8,1,1,1,1,1,28,1,2,1,10,2.43048565596773,1,2,2,2,4,2,2,2,3,2,2,3,3,3,3,2,2,8,8,2,3,2,1,1,2,2,2,2,3
41,9,1,1,1,1,2,34,2,2,1,10,2.43048565596773,6,1,2,4,4,4,4,2,4,3,4,3,1,2,1,8,2,2,1,2,3,1,1,2,2,2,3,3,4
42,9,1,1,1,1,1,50,3,2,1,8,2.43048565596773,4,1,1,4,4,4,4,8,8,4,2,2,1,1,3,8,2,2,4,3,3,2,2,3,3,4,4,4,3
43,9,1,1,1,1,2,29,1,3,2,7,2.43048565596773,2,2,1,4,2,7,4,2,4,3,2,2,1,1,3,4,2,2,4,8,3,3,4,4,4,4,2,3,3
44,9,1,1,1,1,2,60,3,2,1,10,2.43048565596773,4,1,1,2,7,4,4,2,3,8,2,2,3,4,3,4,2,1,4,3,3,3,2,4,3,4,3,4,3
45,9,1,1,1,1,1,19,1,2,1,9,2.43048565596773,2,1,2,4,7,4,4,2,5,3,2,2,1,2,3,4,2,2,4,3,3,3,2,3,3,3,4,3,3
46,10,1,1,1,1,2,34,2,4,3,5,2.43048565596773,8,1,4,2,2,4,4,8,5,1,2,2,2,3,2,4,1,2,3,2,3,2,2,2,4,4,4,2,3
47,10,1,1,1,1,2,18,1,2,1,9,2.43048565596773,1,1,2,2,4,4,3,1,4,2,3,2,3,2,3,3,4,2,3,3,3,2,2,4,4,4,4,4,2
48,10,1,1,1,1,1,18,1,4,3,6,2.43048565596773,6,1,3,2,4,4,4,2,4,3,3,2,2,2,1,3,2,2,3,3,3,1,4,4,2,4,2,3,2
49,10,1,1,1,1,1,80,3,3,2,6,2.43048565596773,4,4,4,2,4,4,4,8,8,3,8,8,8,3,8,8,2,8,8,8,8,4,8,8,8,4,1,8,2
50,10,1,1,1,1,2,60,3,3,2,8,2.43048565596773,3,1,1,2,4,4,4,2,3,3,2,3,2,2,3,3,2,2,3,3,3,2,2,2,4,2,2,2,2
51,11,1,1,1,1,1,37,2,2,1,8,2.43048565596773,5,1,2,3,4,4,3,2,4,2,1,2,1,1,3,3,2,2,4,1,3,4,3,4,4,3,3,4,2
52,11,1,1,1,1,2,31,2,4,3,6,2.43048565596773,3,2,2,4,4,7,4,2,4,3,2,2,2,1,3,4,3,2,4,3,3,3,3,8,8,4,3,8,3
53,11,1,1,1,1,1,53,3,3,2,6,2.43048565596773,5,1,1,3,7,4,4,2,4,3,2,1,1,1,3,4,2,2,4,4,3,2,3,8,3,4,2,8,3
54,11,1,1,1,1,2,47,3,3,2,10,2.43048565596773,1,1,1,4,3,4,4,2,8,8,2,2,1,1,3,8,2,2,3,4,4,4,4,4,4,4,3,4,3
55,11,1,1,1,1,1,28,1,3,2,8,2.43048565596773,5,1,1,3,7,2,4,3,4,2,2,2,2,1,3,3,2,1,3,3,4,2,3,8,2,4,2,3,3
56,12,1,1,1,1,1,70,3,4,3,4,2.43048565596773,6,1,2,2,7,7,4,8,6,4,2,8,1,1,3,4,2,2,3,4,3,3,3,4,3,4,3,4,4
57,12,1,1,1,1,2,63,3,4,3,6,2.43048565596773,5,1,2,2,7,7,4,2,6,2,1,1,1,1,3,4,2,1,3,3,1,2,3,4,3,3,2,3,4
58,12,1,1,1,1,2,30,2,3,2,8,2.43048565596773,5,2,2,4,2,4,4,2,6,1,2,1,1,1,3,3,2,1,2,1,2,3,4,2,3,4,1,3,3
59,12,1,1,1,1,2,29,1,3,2,9,2.43048565596773,5,1,2,4,4,1,4,4,4,9,2,1,1,1,3,4,2,1,4,3,1,2,3,3,4,4,1,3,4
60,12,1,1,1,1,1,22,1,3,2,7,2.43048565596773,3,1,1,4,7,4,2,1,6,4,1,1,3,2,3,4,2,1,3,2,3,2,2,3,4,3,4,4,3
61,13,1,1,1,1,2,40,2,4,3,3,2.43048565596773,5,2,2,4,4,7,4,2,6,1,2,1,1,1,2,4,3,1,4,1,3,3,3,4,9,3,3,2,3
62,13,1,1,1,1,2,25,1,3,2,10,2.43048565596773,6,1,1,4,7,4,4,2,6,2,2,2,1,3,2,9,2,2,2,2,4,2,2,4,4,4,3,3,3
63,13,1,1,1,1,1,46,3,4,3,3,2.43048565596773,8,2,4,4,9,4,4,8,6,9,2,2,1,1,3,4,2,1,9,2,3,4,2,4,4,3,3,8,3
64,13,1,1,1,1,2,31,2,4,3,6,2.43048565596773,1,2,2,4,2,7,4,2,6,2,1,2,1,1,2,1,3,1,4,1,3,1,1,4,9,2,2,3,3
65,13,1,1,1,1,1,32,2,3,2,8,2.43048565596773,6,2,3,4,4,4,4,2,6,3,2,2,1,1,3,4,2,2,4,2,2,1,2,4,4,4,2,8,3
66,14,1,1,1,1,2,21,1,3,2,5,2.43048565596773,8,1,2,1,3,7,4,2,3,3,2,2,2,2,2,2,2,2,8,3,3,2,4,4,4,2,4,4,3
67,14,1,1,1,1,2,55,3,3,2,6,2.43048565596773,1,1,1,2,9,9,3,3,3,3,2,3,2,2,2,8,2,3,8,2,3,2,4,4,4,2,2,8,4
68,14,1,1,1,1,1,26,1,3,2,6,2.43048565596773,6,1,2,1,4,4,4,8,4,8,2,8,1,1,3,8,2,8,8,3,3,2,4,4,2,2,2,4,3
69,14,1,1,1,1,1,68,3,3,2,8,2.43048565596773,6,1,2,2,9,4,4,2,3,2,2,2,2,2,2,8,3,3,2,3,2,2,2,4,4,2,4,4,4
70,14,1,1,1,1,1,30,2,3,2,6,2.43048565596773,8,1,1,2,2,1,2,2,4,2,3,3,1,1,2,2,2,3,8,2,3,2,4,4,4,2,4,4,4
71,15,1,1,1,1,2,53,3,3,2,6,2.43048565596773,8,1,2,4,7,4,4,2,4,8,2,2,2,2,3,3,2,2,3,3,3,4,4,4,4,4,2,4,3
72,15,1,1,1,1,2,29,1,3,2,8,2.43048565596773,6,1,1,2,2,1,3,2,3,2,8,3,1,1,1,2,2,3,8,2,2,2,4,4,2,2,2,4,2
73,15,1,1,1,1,1,60,3,3,2,8,2.43048565596773,8,1,2,2,7,4,4,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,4,4,2,4,2,3
74,15,1,1,1,1,2,75,3,4,3,3,2.43048565596773,8,1,2,2,7,4,4,8,3,3,2,2,2,2,3,3,2,8,8,3,3,4,4,4,4,2,4,4,3
75,15,1,1,1,1,1,22,1,3,2,7,2.43048565596773,8,1,1,2,7,4,4,2,4,8,8,2,1,2,8,3,2,8,8,3,3,4,4,4,4,2,2,4,3
76,16,1,1,1,1,2,49,3,3,2,4,2.43048565596773,1,1,2,4,4,4,4,2,5,2,3,3,2,1,2,8,2,8,8,2,3,4,4,4,4,4,4,4,4
77,16,1,1,1,1,1,27,1,2,1,8,2.43048565596773,3,2,2,2,7,4,4,2,3,2,1,8,2,1,2,8,2,8,3,3,4,4,3,4,4,4,4,4,3
78,16,1,1,1,1,2,40,2,4,3,8,2.43048565596773,6,4,2,8,1,7,4,8,8,2,8,8,2,2,2,8,2,8,8,1,3,4,4,4,4,4,4,4,3
79,16,1,1,1,1,1,56,3,3,2,6,2.43048565596773,8,2,3,8,8,4,8,8,5,2,2,8,2,2,8,9,2,2,8,9,4,8,4,4,4,4,4,8,3
80,16,1,1,1,1,1,38,2,3,2,10,2.43048565596773,2,4,4,4,4,4,4, ,5,2,2,9,2,2,8,8,2,2,2,2,3,4,4,4,4,4,4,4,3
81,17,1,1,1,1,1,47,3,3,2,6,2.43048565596773,8,1,1,4,8,4,4,3,5,1,3,8,1,1,2,1,2,8,8,2,4,4,4,4,4,4,4,4,4
82,17,1,1,1,1,2,37,2,3,2,6,2.43048565596773,8,3,4,8,4,4,4,8,5,8,2,8,3,2,8,8,2,2,8,2,3,4,4,4,4,4,4,4,4
83,17,1,1,1,1,1,36,2,3,2,8,2.43048565596773,2,1,1,4,4,4,4,9,5,2,8,9,2,1,8,8,2,8,8,2,3,4,3,4,4,4,4,4,3
84,17,1,1,1,1,2,36,2,4,3,6,2.43048565596773,8,4,4,4,4,4,4, ,5,1,2,8,2,1,3,8,2,2,9,1,2,4,3,4,4,4,4,4,3
85,17,1,1,1,1,1,20,1,2,1,6,2.43048565596773,8,2,4,8,7,4,4,8,5,2,2,8,8,2,8,9,2,8,9,2,3,4,3,4,4,4,4,4,3
86,18,1,1,1,1,1,43,2,3,2,6,2.43048565596773,8,1,2,4,4,4,4,2,4,1,2,2,2,2,2,1,1,1,2,2,1,2,2,4,2,4,4,2,4
87,18,1,1,1,1,2,40,2,3,2,4,2.43048565596773,6,1,2,4,4,2,4,2,5,1,2,2,1,1,1,8,2,2,2,2,2,1,1,4,4,2,4,2,3
88,18,1,1,1,1,2,21,1,4,3,6,2.43048565596773,5,1,2,4,4,4,4,1,4,2,2,2,3,2,8,8,2,2,8,3,3,2,2,2,8,4,4,2,3
89,18,1,1,1,1,1,24,1,4,3,6,2.43048565596773,1,1,1,4,3,2,4,2,4,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,3
90,18,1,1,1,1,2,67,3,3,2,3,2.43048565596773,6,4,1,4,7,4,4,2,5,3,2,2,3,3,8,8,2,2,8,3,3,2,4,4,4,4,2,8,2
91,19,1,1,1,1,2,30,2,3,2,9,2.43048565596773,8,1,1,4,7,7,4,2,5,3,2,2,2,2,2,2,1,3,3,3,3,4,4,4,4,4,4,2,3
92,19,1,1,1,1,1,40,2,3,2,8,2.43048565596773,8,1,2,4,4,4,4,2,5,3,1,2,2,2,3,8,2,2,4,3,3,3,2,4,4,4,4,2,3
93,19,1,1,1,1,2,59,3,4,3,8,2.43048565596773,8,1,2,4,4,7,4,2,5,2,1,2,1,1,3,8,1,2,3,3,3,3,3,4,4,4,4,2,3
94,19,1,1,1,1,1,30,2,3,2,6,2.43048565596773,8,1,2,4,7,4,4,8,5,3,2,2,1,1,3,3,1,2,8,3,3,3,3,4,4,4,4,2,3
95,19,1,1,1,1,2,26,1,4,3,6,2.43048565596773,8,1,2,4,4,7,4,2,5,2,1,2,1,1,3,8,2,2,4,3,3,8,8,8,8,8,8,8,3
96,20,1,1,1,1,2,58,3,3,2,8,2.43048565596773,5,1,1,2,7,1,1,2,5,2,2,2,1,1,2,1,2,3,2,1,1,1,1,2,1,1,2,1,4
97,20,1,1,1,1,1,39,2,3,2,5,2.43048565596773,5,1,2,4,2,2,4,2,3,2,2,2,1,1,2,1,1,1,3,2,3,1,1,1,2,4,2,1,3
98,20,1,1,1,1,2,22,1,3,2,7,2.43048565596773,5,1,2,4,7,4,4,2,4,2,2,2,3,3,2,3,2,2,3,2,2,2,2,2,3,2,2,1,3
99,20,1,1,1,1,1,70,3,4,3,7,2.43048565596773,5,3,4,4,7,7,4,1,5,3,2,2,4,3,3,4,2,2,3,3,3,2,8,8,8,2,2,8,2
100,20,1,1,1,1,2,68,3,4,3,5,2.43048565596773,6,1,4,1,7,7,4,2,3,2,2,2,2,2,2,2,2,2,3,8,2,4,4,4,8,4,4,4,4
101,21,1,1,1,1,2,66,3,4,3,5,2.43048565596773,5,1,4,2,2,7,4,8,4,2,2,2,2,2,8,8,2,2,8,2,2,4,4,4,9,4,4,4,3
102,21,1,1,1,1,2,22,1,4,3,6,2.43048565596773,5,1,2,1,7,4,4,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,4,4,2,4,4,4,4
103,21,1,1,1,1,1,18,1,2,1,9,2.43048565596773,5,1,2,2,3,4,4,1,3,2,1,2,2,3,4,8,2,2,4,2,3,2,2,4,9,4,2,3,3
104,21,1,1,1,1,2,44,2,3,2,6,2.43048565596773,1,1,1,1,1,4,2,2,4,2,2,2,2,2,3,2,2,2,8,2,2,1,1,1,2,4,2,2,2
105,21,1,1,1,1,1,30,2,3,2,9,2.43048565596773,3,1,1,1,2,2,2,2,4,3,2,2,3,3,3,8,2,2,3,3,3,1,2,2,2,4,4,2,1
106,22,1,1,1,1,2,29,1,3,2,10,2.43048565596773,6,2,1,1,1,7,2,2,4,1,3,3,2,1,2,1,2,3,2,2,1,2,3,4,4,1,1,1,3
107,22,1,1,1,1,2,65,3,4,3,3,2.43048565596773,5,4,4,4,4,4,4, ,4,2,2,8,1,1,2,8,2,8,8,3,8,2,2,4,4,3,2,9,3
108,22,1,1,1,1,2,40,2,2,1,10,2.43048565596773,5,1,1,2,8,4,2,2,4,1,2,2,2,1,2,3,2,2,3,3,3,2,2,4,2,2,1,1,3
109,22,1,1,1,1,1,26,1,4,3,7,2.43048565596773,5,1,2,2,8,8,4,2,4,2,2,2,3,2,3,8,2,8,8,2,3,2,2,4,2,4,2,1,3
110,22,1,1,1,1,1,72,3,3,2,3,2.43048565596773,5,1,4,4,8,4,4,8,5,2,2,8,2,1,2,8,2,2,3,2,3,2,4,4,4,4,2,4,3
111,23,1,1,1,1,1,18,1,3,2,7,2.43048565596773,1,1,1,2,7,2,2,1,4,1,2,1,1,1,2,2,2,2,3,2,3,1,1,4,4,2,1,1,3
112,23,1,1,1,1,1,45,3,4,3,7,2.43048565596773,3,1,1,1,2,4,4,3,6,2,2,3,1,1,2,2,2,2,3,2,2,2,2,4,2,3,1,4,3
113,23,1,1,1,1,2,62,3,2,1,9,2.43048565596773,4,1,1,2,8,7,4,2,5,8,1,2,2,1,3,8,3,3,3,2,2,1,4,4,4,2,1,4,3
114,23,1,1,1,1,2,27,1,3,2,8,2.43048565596773,6,1,1,4,4,4,2,2,3,2,2,2,1,1,2,8,3,2,3,2,2,1,1,4,2,1,1,1,3
115,23,1,1,1,1,1,63,3,3,2,6,2.43048565596773,6,1,1,4,2,4,4,3,5,1,1,3,2,2,3,2,2,1,3,2,3,1,2,4,4,2,1,1,4
116,24,1,1,1,1,2,37,2,2,1,9,2.43048565596773,8,1,1,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,3,3,3,4,4,4,4,4,4,2,3
117,24,1,1,1,1,1,19,1,3,2,6,2.43048565596773,1,1,4,4,7,4,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,4,4,4,4,4,4,2,3
118,24,1,1,1,1,2,50,3,3,2,4,2.43048565596773,8,1,1,4,2,4,4,2,4,2,3,2,2,2,3,2,2,8,8,2,2,2,4,4,4,4,4,4,4
119,24,1,1,1,1,1,47,3,4,3,6,2.43048565596773,3,1,4,4,7,7,4,2,4,3,2,2,3,3,3,3,2,2,3,3,3,4,4,4,9,4,4,4,2
120,24,1,1,1,1,1,45,3,2,1,10,2.43048565596773,4,1,2,4,2,4,4,2,4,3,2,2,3,3,3,2,2,2,8,3,3,2,4,2,4,4,2,2,2
121,25,1,1,1,1,2,57,3,4,3,5,2.43048565596773,8,1,2,2,7,7,4,2,3,3,2,2,2,2,2,3,8,8,8,2,3,2,8,8,8,2,8,8,3
122,25,1,1,1,1,1,50,3,4,3,6,2.43048565596773,8,2,4,2,7,4,4,2,3,3,2,2,3,3,8,3,2,2,8,3,3,4,4,4,4,4,4,4,3
123,25,1,1,1,1,2,20,1,3,2,7,2.43048565596773,8,2,1,2,7,4,4,3,4,2,3,3,1,1,2,2,2,3,2,1,1,2,4,4,4,2,2,4,2
124,25,1,1,1,1,1,72,3,4,3,4,2.43048565596773,8,1,2,4,7,4,4,2,3,2,2,2,2,2,2,8,8,8,8,2,3,4,4,4,4,2,4,4,3
125,25,1,1,1,1,1,22,1,3,2,7,2.43048565596773,8,2,1,2,7,2,4,1,3,2,3,2,2,2,2,8,2,8,2,2,3,4,4,4,4,2,4,4,3
126,26,1,1,1,1,1,38,2,2,1,9,2.43048565596773,5,1,2,3,4,4,3,2,4,2,2,2,3,3,3,3,2,2,3,3,3,2,1,2,4,3,1,1,3
127,26,1,1,1,1,2,36,2,3,2,8,2.43048565596773,2,1,2,2,2,7,2,2,4,3,2,2,3,3,3,8,3,3,3,3,3,2,2,2,9,2,2,2,3
128,26,1,1,1,1,2,18,1,3,2,6,2.43048565596773,2,2,3,2,7,7,4,2,3,3,2,3,2,2,3,3,2,2,3,2,2,2,2,2,4,4,1,1,3
129,26,1,1,1,1,2,57,3,3,2,6,2.43048565596773,3,2,2,4,7,1,4,2,3,3,1,2,2,2,3,3,1,3,4,3,2,1,2,2,2,3,2,2,3
130,26,1,1,1,1,1,20,1,3,2,6,2.43048565596773,2,2,2,2,7,7,4,2,3,3,2,2,2,3,3,3,3,3,3,3,3,2,1,2,2,2,1,2,3
131,27,1,1,1,1,2,21,1,2,1,7,2.43048565596773,1,1,1,1,7,2,4,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
132,27,1,1,1,1,2,60,3,3,2,6,2.43048565596773,1,1,1,1,8,7,4,2,5,2,8,2,2,2,2,2,2,2,8,8,8,2,2,2,2,2,2,2,4
133,27,1,1,1,1,1,32,2,2,1,6,2.43048565596773,4,1,1,1,4,4,4,2,5,2,2,2,2,2,2,2,2,8,8,2,3,2,2,2,2,2,2,2,3
134,27,1,1,1,1,1,21,1,3,2,9,2.43048565596773,5,1,2,2,7,3,3,1,2,3,2,2,3,2,3,2,3,2,3,3,3,1,1,2,2,2,2,1,3
135,27,1,1,1,1,2,39,2,2,1,8,2.43048565596773,3,1,1,1,3,7,4,2,5,8,8,2,2,2,8,2,3,2,8,3,3,2,1,2,2,1,2,1,3
136,28,1,1,1,1,1,19,1,1,1,9,2.43048565596773,4,2,2,4,7,7,4,2,4,3,2,2,3,3,3,2,2,2,3,3,3,4,4,4,4,4,4,3,3
137,28,1,1,1,1,1,67,3,1,1,10,2.43048565596773,4,2,2,4,7,4,4,2,4,3,2,2,3,3,3,3,2,2,3,3,3,4,4,4,4,4,4,4,3
138,28,1,1,1,1,2,20,1,1,1,9,2.43048565596773,3,2,2,4,7,7,4,2,4,3,2,2,3,3,3,3,2,2,3,3,3,4,4,4,4,4,4,3,3
139,28,1,1,1,1,2,61,3,1,1,10,2.43048565596773,4,2,2,4,7,7,4,2,4,3,2,2,3,3,3,3,1,2,3,3,3,4,4,4,4,4,4,4,3
140,28,1,1,1,1,2,48,3,1,1,10,2.43048565596773,3,2,2,4,4,4,4,2,4,3,2,2,3,3,3,3,2,2,3,3,3,4,4,4,4,4,4,4,3
141,29,1,1,1,1,1,49,3,2,1,8,2.43048565596773,4,1,1,4,7,4,4,2,3,9,9,9,1,2,9,9,1,2,9,2,2,4,4,9,3,3,2,1,3
142,29,1,1,1,1,2,25,1,3,2,8,2.43048565596773,8,1,1,1,4,4,3,2,6,2,1,2,2,2,3,8,2,2,8,3,3,2,2,4,3,3,2,2,2
143,29,1,1,1,1,1,34,2,4,3,6,2.43048565596773,8,1,1,1,4,4,2,2,5,8,2,2,3,2,3,8,2,2,8,3,3,3,3,2,9,3,2,2,2
144,29,1,1,1,1,2,45,3,2,1,9,2.43048565596773,6,1,1,2,4,4,4,9,6,2,1,9,2,2,3,9,1,2,9,3,3,1,1,4,4,4,4,1,2
145,29,1,1,1,1,2,51,3,3,2,6,2.43048565596773,6,1,1,2,7,7,4,2,6,2,2,2,1,1,3,9,1,2,9,3,3,2,2,4,9,4,4,3,2
146,30,1,1,1,1,2,42,2,2,1,10,2.43048565596773,5,1,1,4,4,4,4,2,3,3,2,2,2,2,2,3,2,3,8,2,2,2,2,2,2,2,2,2,2
147,30,1,1,1,1,2,32,2,2,1,10,2.43048565596773,2,1,1,1,7,4,4,1,3,3,2,8,3,2,3,4,2,4,2,2,2,2,3,2,3,2,2,3,3
148,30,1,1,1,1,1,52,3,2,1,10,2.43048565596773,1,2,2,2,4,4,4,2,3,8,2,2,2,2,2,4,3,3,3,2,3,1,1,2,1,2,2,2,3
149,30,1,1,1,1,1,33,2,2,1,7,2.43048565596773,1,2,2,2,7,2,4,2,4,3,2,2,3,3,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3
150,30,1,1,1,1,1,26,1,3,2,6,2.43048565596773,5,1,1,2,4,2,4,2,5,2,3,3,3,3,3,2,2,3,8,2,2,2,1,3,2,2,3,2,3
151,31,1,1,1,1,1,45,3,2,1,8,2.43048565596773,2,1,4,4,4,4,4,8,3,2,2,2,2,2,2,4,8,1,4,4,4,2,2,4,4,4,2,2,3
152,31,1,1,1,1,2,45,3,2,1,10,2.43048565596773,3,1,1,4,4,7,4,2,6,3,2,2,1,1,3,4,8,1,8,8,8,3,2,3,3,3,2,2,3
153,31,1,1,1,1,2,30,2,1,1,10,2.43048565596773,3,1,1,4,4,4,4,2,5,3,2,2,2,2,4,4,8,2,4,8,8,2,2,8,3,3,2,2,3
