="Tabla 1"
="",="(1)",="",="(2)",=""
="",="Coef./S.E.",="p-value",="Coef./S.E.",="p-value"
="Edad",="241.93***",="0.00",="226.25***",="0.00"
="",="6.69",="",="6.62",=""
="Mujer",="-3319.70***",="0.00",="-3465.36***",="0.00"
="",="193.56",="",="190.75",=""
="Const",="9260.28***",="0.00",="6165.87***",="0.00"
="",="284.99",="",="640.98",=""
="R-cuadrado",="0.06",="",="0.09",=""
="N. de obs.",="26444.00",="",="26444.00",=""
="* p<0.05, ** p<0.01, *** p<0.001"
